round	size:children	size:sibling	score_before	score_after	nodal dist	dist from previous source	dist from previous dest	label:soure	label:dest
1		1,	1014211929.0	1014211929.0	0	-	-	35	35
1		1,	1014218250.0	1014218250.0	0	-	-	172	172
1		1,	1003686388.0	1003686388.0	0	-	-	12	12
1		1,	1003676236.0	1003676236.0	0	-	-	93	93
1		2,	995074164.0	995074164.0	0	-	-	I43	I43
1	1,1,	1,	1951255313.0	1951255313.0	0	-	-	17	17
1	197,1,	3,	122952.0	122952.0	0	-	-	I42	I42
1	2,1,	5,	2851686619.0	2851686619.0	0	-	-	I9	I9
1	4,1,	3,	4579829384.0	4579829384.0	0	-	-	I13	I13
1	190,3,	8,	9497274.0	9497274.0	0	-	-	I8	I8
1	1,1,	1,	1769993304.0	1769993304.0	0	-	-	31	31
1		2,	904695968.0	904695968.0	0	-	-	I199	I199
1	192,6,	3,	194430.0	194430.0	0	-	-	I198	I198
1		1,	924020604.0	924020604.0	0	-	-	106	106
1		1,	924022373.0	924022373.0	0	-	-	170	170
1	9,1,	8,	7840991672.0	7840991672.0	0	-	-	I112	I112
1	4,4,	10,	6516419787.0	6516419787.0	0	-	-	I119	I119
1	175,8,	18,	136491206.0	136491206.0	0	-	-	I111	I111
1		200,	935805308.0	935805308.0	0	-	-	I1	I1
1		6,	910641155.0	910641155.0	0	-	-	I178	I178
1	5,1,	1,	4885525536.0	4885525536.0	0	-	-	115	115
1	188,6,	7,	4884726.0	4884726.0	0	-	-	I177	I177
1		1,	984134720.0	984134720.0	0	-	-	198	198
1		1,	984134720.0	984134720.0	0	-	-	141	141
1	1,2,	1,	2640168532.0	2640168532.0	0	-	-	153	153
1		3,	918891476.0	918891476.0	0	-	-	I73	I73
1	196,1,	4,	539799.0	539799.0	0	-	-	I72	I72
1	5,1,	1,	5126659450.0	5126659450.0	0	-	-	155	155
1		6,	949678575.0	949678575.0	0	-	-	I122	I122
1	192,2,	7,	4538268.0	4538268.0	0	-	-	I121	I121
1		1,	950631963.0	950631963.0	0	-	-	116	116
1		1,	950636801.0	950636801.0	0	-	-	144	144
1		1,	979405421.0	979405421.0	0	-	-	139	139
1		1,	979354098.0	979354098.0	0	-	-	199	199
1		13,	1007716637.0	1007716637.0	0	-	-	I18	I18
1	7,6,	1,	10319671466.0	10319671466.0	0	-	-	133	133
1	184,3,	14,	61384896.0	61384896.0	0	-	-	I17	I17
1	4,4,	5,	6978790606.0	6979040966.0	2	-	-	I139	I137
1	1,4,	8,	4621444084.0	4621694444.0	3	-	-	I143	I150
1	182,6,	13,	47943442.0	47943442.0	0	-	-	I138	I138
1	1,1,	4,	1891319290.0	1891319290.0	0	-	-	I82	I82
1	3,1,	2,	3628030137.0	3628030137.0	0	-	-	I85	I85
1	191,4,	6,	3388515.0	3388515.0	0	-	-	I81	I81
1	1,4,	3,	4233426285.0	4233426285.0	0	-	-	I129	I129
1	2,1,	5,	2624597070.0	2624597070.0	0	-	-	I131	I131
1	175,18,	8,	10512477.0	10512477.0	0	-	-	I128	I128
1	1,2,	1,	2857632753.0	2857632753.0	0	-	-	79	79
1		3,	991483412.0	991483412.0	0	-	-	I11	I11
1	196,1,	4,	701123.0	701123.0	0	-	-	I10	I10
1		1,	999688252.0	999688252.0	0	-	-	16	16
1		1,	999686281.0	999686281.0	0	-	-	186	186
1		1,	997421233.0	997421233.0	0	-	-	151	151
1		1,	997427918.0	997427918.0	0	-	-	120	120
1	1,1,	1,	1963871715.0	1963871715.0	0	-	-	92	92
1		2,	1001456003.0	1001476002.0	1	-	-	I142	69
1	197,1,	3,	58608.0	78607.0	2	-	-	I141	82
1	1,1,	1,	1894822793.0	1894837194.0	2	-	-	166	I93
1		2,	966809376.0	966823777.0	3	-	-	I95	19
1	197,1,	3,	155845.0	155845.0	0	-	-	I94	I94
1		1,	918976673.0	918976673.0	0	-	-	72	72
1		1,	918989422.0	918989422.0	0	-	-	123	123
1		1,	902240057.0	902240057.0	0	-	-	103	103
1		1,	902240057.0	902240057.0	0	-	-	162	162
1		1,	913955306.0	913955306.0	0	-	-	200	200
1		1,	913966207.0	913966207.0	0	-	-	60	60
1		4,	923306401.0	923306401.0	0	-	-	I132	I132
1	2,2,	1,	3462622299.0	3462622299.0	0	-	-	81	81
1	193,3,	5,	1762040.0	1762040.0	0	-	-	I131	I131
1	3,2,	1,	4365673109.0	4365673109.0	0	-	-	58	58
1		5,	949490363.0	949490363.0	0	-	-	I123	I123
1	194,1,	6,	2530898.0	2530898.0	0	-	-	I122	I122
1		2,	994246071.0	994246071.0	0	-	-	I168	I168
1	1,1,	1,	1949286402.0	1949286402.0	0	-	-	41	41
1	195,3,	3,	106326.0	106326.0	0	-	-	I167	I167
1	1,2,	1,	2882009536.0	2882009536.0	0	-	-	71	71
1		3,	997947075.0	997947075.0	0	-	-	I152	I152
1	195,2,	4,	714141.0	714141.0	0	-	-	I151	I151
1		3,	864160587.0	864160587.0	0	-	-	I54	I54
1	2,1,	1,	2475804879.0	2475804879.0	0	-	-	23	23
1	196,1,	4,	659556.0	659556.0	0	-	-	I53	I53
1		2,	858444317.0	858444317.0	0	-	-	I49	I49
1	1,1,	1,	1676025072.0	1676025072.0	0	-	-	114	114
1	47,151,	3,	185724.0	185724.0	0	-	-	I48	I48
1	1,1,	1,	1955597866.0	1955597866.0	0	-	-	121	121
1		2,	997249251.0	997265265.0	1	-	-	I164	11
1	197,1,	3,	65344.0	81358.0	2	-	-	I163	111
1	6,1,	6,	6300969171.0	6300969171.0	0	-	-	I19	I19
1	2,4,	7,	5511724090.0	5511724090.0	0	-	-	I24	I24
1	187,1,	13,	48579376.0	48579376.0	0	-	-	I18	I18
1		2,	923451497.0	923451497.0	0	-	-	I109	I109
1	1,1,	1,	1808135012.0	1808135012.0	0	-	-	80	80
1	195,3,	3,	147887.0	147887.0	0	-	-	I108	I108
1		1,	904981513.0	904981513.0	0	-	-	176	176
1		1,	904968800.0	904968800.0	0	-	-	113	113
1		1,	997026821.0	997026821.0	0	-	-	161	161
1		1,	997023789.0	997023789.0	0	-	-	143	143
1	1,1,	1,	1792723805.0	1792723805.0	0	-	-	167	167
1		2,	915979402.0	915979402.0	0	-	-	I104	I104
1	197,1,	3,	144936.0	144936.0	0	-	-	I103	I103
1		2,	993121548.0	993121548.0	0	-	-	I170	I170
1	1,1,	1,	1946952214.0	1946952214.0	0	-	-	3	3
1	195,3,	3,	191677.0	191677.0	0	-	-	I169	I169
1	1,2,	1,	2868937267.0	2868937267.0	0	-	-	28	28
1		3,	994978835.0	994978835.0	0	-	-	I42	I42
1	196,1,	4,	481478.0	481478.0	0	-	-	I41	I41
1	1,1,	1,	1967998800.0	1967998800.0	0	-	-	130	130
1		2,	1003370467.0	1003370467.0	0	-	-	I146	I146
1	197,1,	3,	193050.0	193050.0	0	-	-	I145	I145
1	151,3,	14,	1940113298.0	1951682170.0	2	-	-	I34	I3
1	4,10,	154,	10615777975.0	10627346847.0	3	-	-	I47	I4
1	3,30,	168,	17433595536.0	17433595536.0	0	-	-	I33	I33
1	2,1,	13,	2535615962.0	2535615962.0	0	-	-	I176	I176
1	6,7,	3,	9150530948.0	9150530948.0	0	-	-	I188	I188
1	174,11,	16,	88690482.0	88690482.0	0	-	-	I175	I175
1		1,	923612040.0	923612040.0	0	-	-	13	13
1		1,	923613616.0	923613616.0	0	-	-	96	96
