1	2
2	2
3	1
4	3
5	1
6	1
7	1
8	1
9	2
10	1
11	2
12	1
13	1
14	2
15	3
16	1
17	3
18	2
19	1
20	2
21	2
22	1
23	4
24	1
25	1
26	1
27	2
28	1
29	5
30	2
31	1
32	5
33	3
34	2
35	1
36	3
37	1
38	1
39	1
40	2
41	1
42	2
43	1
44	2
45	4
46	12
47	2
48	6
49	13
50	2
51	1
52	2
53	2
54	1
55	2
56	2
57	2
58	1
59	3
60	6
61	1
62	1
63	2
64	6
65	1
66	2
67	1
68	1
69	1
70	1
71	2
72	2
73	9
74	3
75	7
76	4
77	1
78	1
79	3
80	4
81	2
82	6
83	1
84	1
85	5
86	7
87	5
88	1
89	4
90	1
91	5
92	3
93	3
94	5
95	1
96	3
97	1
98	1
99	7
100	2
101	1
102	12
103	2
104	4
105	1
106	5
107	1
108	1
109	15
110	6
111	1
112	3
113	9
114	1
115	1
116	4
117	5
118	5
119	1
120	1
121	1
122	2
123	22
124	3
125	4
126	6
127	7
128	1
129	1
130	2
131	3
132	2
133	2
134	14
135	2
136	21
137	6
138	1
139	6
140	9
141	3
142	4
143	2
144	2
145	2
146	11
147	3
148	9
149	9
150	2
151	11
152	9
153	6
154	15
155	1
156	10
157	11
158	88
159	7
160	2
161	44
162	8
163	8
164	43
165	6
166	2
167	18
168	16
169	142
170	3
171	514
172	531
