1	1
2	6
3	1
4	2
5	1
6	1
7	5
8	1
9	3
10	1
11	1
12	5
13	2
14	1
15	1
16	1
17	4
18	1
19	2
20	4
21	1
22	5
23	3
24	1
25	1
26	3
27	3
28	2
29	1
30	2
31	6
32	1
33	5
34	4
35	2
36	1
37	4
38	3
39	4
40	4
41	4
42	1
43	4
44	3
45	1
46	5
47	4
48	4
49	8
50	4
51	14
52	12
53	3
54	3
55	4
56	8
57	9
58	12
59	15
60	3
61	3
62	6
63	3
64	1
65	14
66	10
67	3
68	19
69	1
70	9
71	8
72	6
73	11
74	2
75	2
76	5
77	8
78	1
79	1
80	10
81	1
82	19
83	1
84	8
85	2
86	11
87	3
88	19
89	2
90	2
91	5
92	8
93	21
94	21
95	29
96	11
97	34
98	31
99	125
100	23
101	125
102	59
103	499
104	531
