round	size:children	size:sibling	score_before	score_after	nodal dist	dist from previous source	dist from previous dest	label:soure	label:dest
1		2,	944175948.0	944175948.0	0	-	-	I89	I89
1	1,1,	1,	1848554861.0	1848554861.0	0	-	-	40	40
1	196,2,	3,	183348.0	183348.0	0	-	-	I88	I88
1	1,1,	6,	2105247452.0	2105247452.0	0	-	-	I173	I173
1	3,3,	2,	5878752714.0	5878752714.0	0	-	-	I178	I178
1	187,6,	8,	8029707.0	8029707.0	0	-	-	I172	I172
1	1,1,	1,	2043435075.0	2043435075.0	0	-	-	82	82
1		2,	1041335816.0	1041335816.0	0	-	-	I36	I36
1	197,1,	3,	172854.0	172854.0	0	-	-	I35	I35
1	3,58,	27,	18306530595.0	18306530595.0	0	-	-	I95	I95
1	13,14,	61,	16769753347.0	16769753347.0	0	-	-	I121	I121
1	94,19,	88,	9832986314.0	9832986314.0	0	-	-	I94	I94
1		1,	978754492.0	978754492.0	0	-	-	57	57
1		1,	978056351.0	978056351.0	0	-	-	132	132
1		5,	1069899560.0	1070053595.0	1	-	-	I147	I148
1	3,2,	1,	4977407931.0	4977407931.0	0	-	-	19	19
1	191,4,	6,	2716689.0	2870724.0	2	-	-	I146	I149
1	2,2,	2,	4063163262.0	4063163262.0	0	-	-	I168	I168
1	1,1,	4,	2106377959.0	2106377959.0	0	-	-	I169	I169
1	187,8,	6,	2835247.0	2835247.0	0	-	-	I167	I167
1		1,	992486255.0	992486255.0	0	-	-	195	195
1		1,	992486255.0	992486255.0	0	-	-	113	113
1	2,3,	4,	4333783533.0	4333783533.0	0	-	-	I84	I84
1	2,2,	5,	3529734599.0	3529734599.0	0	-	-	I87	I87
1	186,6,	9,	15201495.0	15201495.0	0	-	-	I83	I83
1	1,1,	2,	2101893450.0	2101893450.0	0	-	-	I164	I164
1	1,1,	2,	2102055460.0	2102055460.0	0	-	-	I165	I165
1	196,1,	4,	549608.0	549608.0	0	-	-	I163	I163
1		2,	1060823937.0	1060823937.0	0	-	-	I160	I160
1	1,1,	1,	2082905312.0	2082905312.0	0	-	-	46	46
1	182,16,	3,	136422.0	136422.0	0	-	-	I159	I159
1		1,	940221969.0	940221969.0	0	-	-	128	128
1		1,	940695316.0	940695316.0	0	-	-	149	149
1	4,1,	1,	4386829300.0	4386829300.0	0	-	-	53	53
1		5,	951510547.0	951510547.0	0	-	-	I42	I42
1	177,18,	6,	3236220.0	3236220.0	0	-	-	I41	I41
1		1,	941639539.0	941639539.0	0	-	-	34	34
1		1,	941639539.0	941639539.0	0	-	-	116	116
1		2,	982083896.0	982083896.0	0	-	-	I108	I108
1	1,1,	1,	1925125594.0	1925125594.0	0	-	-	115	115
1	197,1,	3,	98009.0	98009.0	0	-	-	I107	I107
1	1,1,	1,	1843966566.0	1843966566.0	0	-	-	88	88
1		2,	941636978.0	941636978.0	0	-	-	I113	I113
1	197,1,	3,	154044.0	154044.0	0	-	-	I112	I112
1	1,1,	2,	2106438660.0	2106438660.0	0	-	-	I170	I170
1	1,1,	2,	2106653757.0	2106653757.0	0	-	-	I171	I171
1	195,2,	4,	738151.0	738151.0	0	-	-	I169	I169
1		3,	964920083.0	964920083.0	0	-	-	I50	I50
1	2,1,	1,	2779282437.0	2779282437.0	0	-	-	174	174
1	195,2,	4,	678858.0	678858.0	0	-	-	I49	I49
1	1,1,	2,	1829521747.0	1829521747.0	0	-	-	I80	I80
1	1,1,	2,	1829409899.0	1829409899.0	0	-	-	I81	I81
1	195,2,	4,	748206.0	748206.0	0	-	-	I79	I79
1		2,	1041346294.0	1041346294.0	0	-	-	I139	I139
1	1,1,	1,	2044289812.0	2044289812.0	0	-	-	111	111
1	196,2,	3,	129466.0	129466.0	0	-	-	I138	I138
1	1,1,	1,	1891768002.0	1891768002.0	0	-	-	158	158
1		2,	965533815.0	965533815.0	0	-	-	I51	I51
1	197,1,	3,	133848.0	133848.0	0	-	-	I50	I50
1	1,1,	5,	2035219420.0	2035219420.0	0	-	-	I137	I137
1	2,3,	2,	4822830584.0	4822830584.0	0	-	-	I141	I141
1	192,2,	7,	5927183.0	5927183.0	0	-	-	I136	I136
1		127,	855881026.0	855881026.0	0	-	-	I74	I74
1	20,107,	1,	6030537979.0	6030537979.0	0	-	-	0	0
1	38,35,	128,	17873081601.0	17873081601.0	0	-	-	I73	I73
1	1,2,	1,	2825583830.0	2825583830.0	0	-	-	97	97
1		3,	979340723.0	979340723.0	0	-	-	I102	I102
1	191,6,	4,	769283.0	769283.0	0	-	-	I101	I101
1	1,1,	7,	1917800671.0	1917800671.0	0	-	-	I56	I56
1	1,6,	2,	6120092991.0	6120092991.0	0	-	-	I62	I62
1	189,3,	9,	14643641.0	14643641.0	0	-	-	I55	I55
1		1,	944482416.0	944482416.0	0	-	-	30	30
1		1,	944482613.0	944482613.0	0	-	-	42	42
1		1,	966890269.0	966890269.0	0	-	-	43	43
1		1,	966888423.0	966888423.0	0	-	-	151	151
1	1,1,	1,	2030647604.0	2030649765.0	2	-	-	179	I127
1		2,	1034675642.0	1034677803.0	3	-	-	I129	21
1	197,1,	3,	103757.0	103757.0	0	-	-	I128	I128
1		6,	986880955.0	986880955.0	0	-	-	I57	I57
1	4,2,	1,	5355158822.0	5355158822.0	0	-	-	20	20
1	192,2,	7,	5938902.0	5938902.0	0	-	-	I56	I56
1		3,	1029079450.0	1029079450.0	0	-	-	I13	I13
1	2,1,	1,	2972212819.0	2972212819.0	0	-	-	56	56
1	189,8,	4,	692061.0	692061.0	0	-	-	I12	I12
1		1,	977076741.0	977076741.0	0	-	-	68	68
1		1,	977089271.0	977089271.0	0	-	-	112	112
1		1,	1029236222.0	1029236222.0	0	-	-	98	98
1		1,	1029236966.0	1029236966.0	0	-	-	180	180
1		1,	1068786175.0	1068786175.0	0	-	-	183	183
1		1,	1068730806.0	1068730806.0	0	-	-	156	156
1		1,	1073277221.0	1073277221.0	0	-	-	25	25
1		1,	1073281147.0	1073281147.0	0	-	-	109	109
1		1,	953092355.0	953092355.0	0	-	-	55	55
1		1,	953072467.0	953072467.0	0	-	-	121	121
1		1,	967428142.0	967428142.0	0	-	-	189	189
1		1,	967432022.0	967432022.0	0	-	-	4	4
1		2,	967423740.0	967423740.0	0	-	-	I193	I193
1	1,1,	1,	1895657720.0	1895657720.0	0	-	-	78	78
