1	1
2	4
3	1
4	4
5	3
6	1
7	2
8	1
9	2
10	2
11	2
12	2
13	1
14	1
15	1
16	3
17	3
18	3
19	2
20	1
21	1
22	1
23	1
24	3
25	3
26	3
27	1
28	1
29	5
30	5
31	4
32	2
33	2
34	1
35	2
36	1
37	1
38	1
39	1
40	3
41	1
42	1
43	2
44	1
45	3
46	2
47	1
48	5
49	1
50	4
51	1
52	1
53	2
54	1
55	1
56	1
57	2
58	4
59	7
60	2
61	1
62	1
63	1
64	2
65	1
66	1
67	2
68	2
69	2
70	2
71	2
72	1
73	1
74	1
75	6
76	1
77	2
78	1
79	3
80	1
81	4
82	5
83	4
84	8
85	1
86	1
87	3
88	1
89	2
90	1
91	6
92	6
93	4
94	1
95	2
96	1
97	7
98	2
99	5
100	2
101	2
102	4
103	9
104	3
105	2
106	5
107	3
108	5
109	1
110	2
111	1
112	5
113	2
114	1
115	10
116	3
117	6
118	1
119	5
120	2
121	9
122	2
123	2
124	1
125	8
126	8
127	1
128	4
129	1
130	8
131	6
132	3
133	4
134	9
135	2
136	3
137	5
138	6
139	6
140	1
141	2
142	4
143	5
144	2
145	8
146	5
147	6
148	2
149	1
150	2
151	4
152	8
153	2
154	4
155	7
156	8
157	3
158	2
159	14
160	7
161	4
162	2
163	10
164	13
165	9
166	1
167	12
168	13
169	1
170	3
171	10
172	179
173	120
174	530
