cldae taxa	clade sizde	label	runtime	nodal dist
5720,6629,7842,6866,7628,4919,6366,8416,9566,4313,6578,3883,9958,4911,7692,7555,9806,9393,8250,4371,3755,4774,3978,6048,5020,7451,6355,6465,5797,8490,6021,7662,4673,6494,6851,6009,7963,4284,6559,6692,9056,4031,7366,4596,9284,3782,5971,7004,9458,7235,8473,8083,7188,5141,8224,8169,4624,7663,8350,9364,6389,8244	62	-	8585.555703639984	0
5917,5060,7967,5711,7595,9934,3888,4352,7006,7577,6944,6733,4087,8252,7793,5530,6053,7084,6052,7046,6484,4512,8258,8107,9538,9387,4144,9115,6618,7243,6437,5004,9691,6143,9828,3876,5666,9830,4104,6702,8845,3914,6848,8311,6766,5565,9398,8345,5398,7854,5694,9365,4169,5998,5462,9978,7010,8990,8305,9043,7309,7966,7345,5860,4843	65	-	9005.767268419266	0
4377,9026,7612,6125,8591,4815,5948,8142,8950,9298,5791,4951,7575,9702,5419,8163,4541,4468,7463,5982,7675,7625,3756,3993,6418,5056,7770,7957,6045,4318,4372,5161,5945,7919,5194,6987,7183	37	-	5156.262769937515	0
2857,2414,1335,1531,2662,1380,429,2856,2226,2941,1023,1437,1036,1059,1224,89,3365,1998,1006,2822,1793,2198,1585,2297,2849,696,3070,3107,963,1833,2648,1429,3202,1337,3286,76,837,2130,728	39	-	5442.939639091492	0
8546,8148,5749,6007,6058,5667,5696,9021,9679,4121,8318,9754,4411,9434,6653,5727,8809,9309,7719,7206,5308,7491,7419,8327,6186,8946,7904,6231,5650,6005,5756,4018,3992,6662,4538,7278,6121,5040,4239,9395,5643,4549,9539,9087,4410,8647,4649,7911,7704,7424,7616,8134,3892,4918,7306,4895,7826,5906,6250,9736,7179,8480,7885,7042,8617,6271,7086,7839	68	-	9426.458500385284	0
7922,7321,5752,8194,8604,3816,9902,3973,4127,4890,6026,5579,7956,5271,8650,8848,7402,6295,6464,6979,6313,7996,4365,5668,6665,8940,4899,8421,8771,6974,9411,4132,8965	33	-	4561.134459972382	0
5651,8822,7202,9700,9310,7877,6756,8932,4408,5986,7400,4819,6180,9446,6997,8085,6066,9985,4805,8081,8500,8404,6237,5184,7215,8547,9938,6278,5988,7492,6627,9391,7403,4162,6242,7168,4445,9758,7683,6720,7705,4656,6495,8153,6354,6034,4907,8249,7893,5543,6015,6323,7429,4900,8599,7783,7460,9116,5006,5509,6420,5967,4718,9154,8711,6563,4427,9912,6587	69	-	9647.306456565857	2
791,1792,916,1257,39,1971,2578,401,2979,2094,3634,2355,2282,3146,999,3561,2512,1373,3351,861,2752,536,1156,1480,19,2581,2783,918,524,2641,2142,1822,2860,2718,1993,3208,1945,97,730,2885,2166,1403,921,2165,3554,555,776,493,2225,2733,1418,1763,3526,178,1739,443,1938,736,307,3433,924	61	-	8462.614453315735	0
8907,8434,8232,9533,9157,4383,4827,5781,4315,7920,8847,8913,8001,5969,6036,4916,3748,8615,6244,5342,6729,8775,9505,9687,9130,5091,9243,6317,7299,9293,4125,9927,8917,5089,6938,6384,6955,7503,4833,4829,8581,5368,9083,3689,9606,9781,9836,4620,3872,7108,8365,9530,9400,6112,5605,6095,4337,5144,7002,6245,5198,6828	62	-	8571.424375295639	0
3415,2772,2097,1184,2667,1155,609,3199,1927,3140,2958,2358,3296,829,1304,3058,1518,2863,3165,3451,1479,1861,526,2104,324,3121,632,1490,1225,2671	30	-	4171.251077413559	0
2269,1696,2129,2922,473,3155,1891,498,152,82,3076,1276,2032,1664,612,1300,165,1734,215,1966,2659,1382,29,629,1001,3493,292,1472,119,1856,2399	31	-	4311.930764913559	0
7820,9348,5290,5457,5291,4444,9666,7931,9549,8288,5919,8559,8804,3818,9611,3711,5014,8377,6344,9794,9054,7443,3750,5707,4199,4088,5359,8248,7203,7974,5820,9900,5088,8522,5383,6725,9747,8924,9246,8063,8105,3861,3781,8267,7532	45	-	6227.045542001724	0
3640,646,149,459,2029,2079,2330,2098,1603,2087,534,2083,1061,1988,860,1232,1560,2200,1537,574,700,518,333,2542,3110,1102,1170,3335,862,2940,258	31	-	4312.559326410294	0
5125,8410,8852,4329,8562,4772,9808,8475,4684,8050,6969,5929,8701,5107,5449,6586,3974,8048,7609,9169,6564,5162,4414,6962,5436,7135,6885,4974,8680,8944,4060	31	-	4314.718796253204	0
4363,7954,5415,9645,5515,6921,6520,6830,9371,8699,7064,5620,4807,7317,5156,5312,7156,9151,8123,6700,9103,6661,4787,4086,9188,6353,3989,6024,6895,9272,6576,4878,4927	33	-	4609.099386692047	0
9708,8935,6264,9327,5137,5304,8424,3899,5902,4883,8926,9128,9590,5928,3677,6835,8147,8168,8124,4176,4189,8994,6855,8112,6280,8364,6734,5336,9498,6025,4024,8884,7116,3738	34	-	4726.41450548172	0
6718,5809,9743,4140,9184,5018,4141,8172,8009,5916,7458,5519,5048,9178,4130,8854,7034,4281,7639,8794,4374,9554,8575,3873,7774,3812,7310,7125,8812,6965,6403,7322,9596,9179,4859,9489,5270,7695,7330,9369,9921,9454,9373,4977,5955,6967,4923,9077,6951,4852,6573,6109,6583,7390,4250,7417,6822,6286	58	-	8043.964905023575	0
1109,939,1569,2008,2766,1956,1797,2951,676,508,2573,3612,3044,2236,213,131,3186,778,3383,2321,3653,722,592,1211,3559,2435,3344,2925,3654,3144,2168,783,863,974,64,10,2471,2841	38	-	5324.074896812439	0
15,725,102,2887,814,667,328,310,3382,2952,1401,265,827,77,1598,1983,1615,3646,1291,1606,3101,300,2385,2441,105,3593,72,923,2882,1672,504	31	-	4319.483150482178	0
9824,4898,9331,4705,7289,7961,8868,6209,5897,7021,4534,9862,9881,9588,7564,9012,4168,5775,5335,4671,6899,9814,6650,6261,5001,8905,9694,4640,4625,5215,8690,6197,8128,6127,6887,9825,5365,6501,9455,7560,6282,8887,5866,7660,5979,6950,8700	47	-	6553.0602123737335	0
419,3036,2035,1542,1064,1175,1728,1119,2821,3664,2802,3219,2524,2569,469,1511,1718,835,3254,2299,2597,1396,1987,2463,1471,216,2496,3362,1387,1311,3662,2937,1957,1313,1262,3613,1633,605,2590,2238,1517,2711,2816,3203,1534,886,3056,2360,3557,2053,338,6,1484,3133	54	-	7541.240617513657	0
