round	size:children	size:sibling	score_before	score_after	nodal dist	dist from previous source	dist from previous dest	label:soure	label:dest
1		1,	1236325126.0	1236325126.0	0	-	-	58	58
1		1,	1236327546.0	1236327546.0	0	-	-	150	150
1	1,1,	4,	2407175109.0	2407175109.0	0	-	-	I63	I63
1	1,3,	2,	4660556446.0	4660556446.0	0	-	-	I66	I66
1	194,1,	6,	3020940.0	3020940.0	0	-	-	I62	I62
1		2,	1274447495.0	1274447495.0	0	-	-	I193	I193
1	1,1,	1,	2510072300.0	2510072300.0	0	-	-	117	117
1	197,1,	3,	87121.0	87121.0	0	-	-	I192	I192
1	2,7,	7,	9658553276.0	9658553276.0	0	-	-	I54	I54
1	5,2,	9,	7754671291.0	7754671291.0	0	-	-	I60	I60
1	131,54,	16,	93562825.0	93562825.0	0	-	-	I53	I53
1		1,	1272720178.0	1272720178.0	0	-	-	125	125
1		1,	1272720178.0	1272720178.0	0	-	-	109	109
1		3,	1272236044.0	1272236044.0	0	-	-	I198	I198
1	1,2,	1,	3701769007.0	3701769007.0	0	-	-	24	24
1	6,191,	4,	735602.0	735602.0	0	-	-	I197	I197
1	3,1,	2,	4721679040.0	4721679040.0	0	-	-	I89	I89
1	1,1,	4,	2438005224.0	2438005224.0	0	-	-	I90	I90
1	194,1,	6,	3328845.0	3328845.0	0	-	-	I88	I88
1		1,	1252292652.0	1252292652.0	0	-	-	25	25
1		1,	1252186971.0	1252186971.0	0	-	-	54	54
1	17,1,	1,	17302986522.0	17302986522.0	0	-	-	0	0
1		18,	1269870911.0	1269870911.0	0	-	-	I15	I15
1	181,1,	19,	162686524.0	162686524.0	0	-	-	I14	I14
1		1,	1251360193.0	1251360193.0	0	-	-	136	136
1		1,	1251337145.0	1251337145.0	0	-	-	148	148
1	1,3,	1,	4776489415.0	4776489415.0	0	-	-	74	74
1		4,	1252224542.0	1252224542.0	0	-	-	I84	I84
1	184,12,	5,	1573684.0	1573684.0	0	-	-	I83	I83
1		1,	1235883941.0	1235883941.0	0	-	-	111	111
1		1,	1235889904.0	1235889904.0	0	-	-	168	168
1	4,2,	3,	7033659330.0	7033659330.0	0	-	-	I25	I25
1	2,1,	6,	3688613058.0	3688613058.0	0	-	-	I27	I27
1	190,2,	9,	14582016.0	14582016.0	0	-	-	I24	I24
1		1,	1272414992.0	1272414992.0	0	-	-	27	27
1		1,	1272349480.0	1272349480.0	0	-	-	88	88
1	6,10,	3,	15678079244.0	15678079244.0	0	-	-	I104	I104
1	1,2,	16,	3634832820.0	3634832820.0	0	-	-	I106	I106
1	147,35,	19,	155199590.0	155199590.0	0	-	-	I103	I103
1	9,2,	6,	11888623553.0	11888623553.0	0	-	-	I17	I17
1	2,4,	11,	7031650962.0	7031650962.0	0	-	-	I22	I22
1	183,1,	17,	119267452.0	119267452.0	0	-	-	I16	I16
1		3,	1237806572.0	1237806572.0	0	-	-	I47	I47
1	2,1,	1,	3596875621.0	3596875621.0	0	-	-	57	57
1	194,3,	4,	404047.0	404047.0	0	-	-	I46	I46
1	4,1,	12,	5875424460.0	5875424460.0	0	-	-	I72	I72
1	10,2,	5,	12601439676.0	12601439676.0	0	-	-	I83	I83
1	177,7,	17,	100466208.0	100466208.0	0	-	-	I71	I71
1		1,	1251789310.0	1251789310.0	0	-	-	72	72
1		1,	1251799304.0	1251799304.0	0	-	-	175	175
1	1,1,	1,	2464576487.0	2464576487.0	0	-	-	123	123
1		2,	1251540037.0	1251540037.0	0	-	-	I119	I119
1	196,2,	3,	171067.0	171067.0	0	-	-	I118	I118
1	1,4,	2,	5727217015.0	5727217015.0	0	-	-	I55	I55
1	1,1,	5,	2406023828.0	2406023828.0	0	-	-	I56	I56
1	185,9,	7,	5903032.0	5903032.0	0	-	-	I54	I54
1		1,	1269541276.0	1269541276.0	0	-	-	3	3
1		1,	1269543821.0	1269543821.0	0	-	-	199	199
1		1,	1252363287.0	1252363287.0	0	-	-	181	181
