round	size:children	size:sibling	score_before	score_after	nodal dist	dist from previous source	dist from previous dest	label:soure	label:dest
1		4,	1286718754.0	1286813714.0	3	-	-	I12	127
1	3,1,	1,	4918966396.0	4919061356.0	2	-	-	74	I10
1	195,1,	5,	1798346.0	1798346.0	0	-	-	I11	I11
1	1,2,	1,	3701560638.0	3701560638.0	0	-	-	156	156
1		3,	1273077027.0	1273077027.0	0	-	-	I55	I55
1	188,9,	4,	786621.0	786621.0	0	-	-	I54	I54
1		1,	1280570097.0	1280570097.0	0	-	-	0	0
1		1,	1280570097.0	1280570097.0	0	-	-	8	8
1	1,1,	22,	2533087385.0	2533087385.0	0	-	-	I9	I9
1	16,6,	2,	20256038345.0	20256038345.0	0	-	-	I30	I30
1	7,170,	24,	317816366.0	317816366.0	0	-	-	I8	I8
1		3,	1271236533.0	1271236533.0	0	-	-	I186	I186
1	1,2,	1,	3696614583.0	3696614583.0	0	-	-	102	102
1	194,3,	4,	681817.0	681817.0	0	-	-	I185	I185
1		199,	1283832828.0	1283832828.0	0	-	-	I2	I2
1	0,1,	200,	1283832828.0	1283832828.0	0	-	-	I1	I1
1	1,11,	47,	13100109576.0	13100109576.0	0	-	-	I83	I83
1	45,2,	12,	27545371874.0	27545371874.0	0	-	-	I129	I129
1	81,61,	59,	4434335830.0	4434335830.0	0	-	-	I82	I82
1		1,	1289329454.0	1289329454.0	0	-	-	151	151
1		1,	1289325302.0	1289325302.0	0	-	-	19	19
1	1,1,	1,	2537536796.0	2537536796.0	0	-	-	45	45
1		2,	1288324462.0	1288324462.0	0	-	-	I28	I28
1	196,2,	3,	178598.0	178598.0	0	-	-	I27	I27
1	1,4,	1,	6041670166.0	6041670166.0	0	-	-	137	137
1		5,	1285495736.0	1285495736.0	0	-	-	I69	I69
1	193,2,	6,	3207165.0	3207165.0	0	-	-	I68	I68
1	6,2,	1,	9251420210.0	9251420210.0	0	-	-	76	76
1		8,	1288055475.0	1288055475.0	0	-	-	I17	I17
1	185,7,	9,	14236092.0	14236092.0	0	-	-	I16	I16
1	1,3,	2,	4832598648.0	4832598648.0	0	-	-	I178	I178
